rpf_key,code,name,rpt_file,group,sql_len,legacy_tables
538,SQL120010031,รายงานรายละเอียดเบิกใช้สินค้า ตามสินค้า,IC120003.rpt,SQL,1668,DOCINFO
539,SQL120010061,รายงานรายละเอียดเบิกใช้สินค้า ตามหมวด,IC120006.rpt,SQL,1735,DOCINFO
540,SQL120010101,รายงานรายละเอียดเบิกใช้สินค้า ตามโครงการ,IC120010.rpt,SQL,1702,DOCINFO
541,SQL120010111,รายงานรายละเอียดเบิกใช้สินค้า ตามแผนก,IC120011.rpt,SQL,1668,DOCINFO
542,FRM1080101,ใบเบิกสินค้า พร้อมรหัสสินค้า,DOC10801.RPT,FRM,0,
543,FRM1080102,ใบเบิกสินค้า แบบเส้นตาราง พร้อมรหัสสินค้า,DOC10802.RPT,FRM,0,
544,FRM0080102,ใบขอเบิกสินค้า แบบเส้นตาราง พร้อมรหัสสินค้า,DOC00802.rpt,FRM,2025,ARPRICETAB DOCINFO
545,FRM0080101,ใบขอเบิกสินค้า พร้อมรหัสสินค้า,DOC00801.rpt,FRM,2025,ARPRICETAB DOCINFO
548,SQL120010114,รายงานสรุปใบขอเบิกสินค้า - ตามเอกสาร,IC120062.rpt,SQL,880,DOCINFO
549,TFRM0080101,ฟอร์มเอกสารขอเบิก พร้อมรหัส Text Mode,TDOC00801.txt,TFRM,2025,ARPRICETAB DOCINFO
550,FRM0080103,ใบขอเบิกสินค้า (Letter),DOC00803.rpt,FRM,2025,ARPRICETAB DOCINFO
551,SQL120010116,รายงานรายละเอียดใบขอเบิกสินค้า- ตามเอกสาร,IC120062_2.rpt,SQL,1626,DOCINFO
552,FRM1220101,ใบคืนเบิกสินค้า พร้อมรหัสสินค้า,DOC12201.RPT,FRM,0,
553,FRM1220102,ใบคืนเบิกสินค้า แบบเส้นตาราง พร้อมรหัสสินค้า,DOC12202.RPT,FRM,0,
554,TFRM1220201,ใบคืนเบิกใช้สินค้า Text Mode,TDOC12201.txt,TFRM,0,
557,SQL12000001_2,รายงานใบคืนเบิกสินค้าตามเอกสาร,IC120001.rpt,SQL,1675,DOCINFO
559,SQL120010115,รายงานสรุปใบคืนจากเบิก - ตามเอกสาร,IC120062.rpt,SQL,880,DOCINFO
